response_id,product,model,rank,product_raw,code,amount_reported,amount_unit,amount_currency,amount_chf,unit_basis,amount_note,share,alloc_basis,n_lines,response_uid,condition,prompt_key,attrs,budget_chf,risk_value,term_value,env_value,has_budget,has_risk,has_term,has_environment,category,tier
0,Bitcoin,Claude Haiku 4.5,1,Bitcoin,BTC,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|1,tokens-general-budget_environment,tokens-general-budget_environment#1,budget_environment,100.0,,,expansion,True,False,False,True,Store of Value (PoW),Blue chip
0,Ethereum,Claude Haiku 4.5,2,Ethereum,ETH,35.0,currency,CHF,35.0,prompt,,0.35,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|1,tokens-general-budget_environment,tokens-general-budget_environment#1,budget_environment,100.0,,,expansion,True,False,False,True,Smart-Contract L1,Blue chip
0,Polkadot,Claude Haiku 4.5,4,Polkadot,DOT,10.0,currency,CHF,10.0,prompt,,0.1,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|1,tokens-general-budget_environment,tokens-general-budget_environment#1,budget_environment,100.0,,,expansion,True,False,False,True,Smart-Contract L1,Large-cap alt
0,Solana,Claude Haiku 4.5,3,Solana,SOL,15.0,currency,CHF,15.0,prompt,,0.15,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|1,tokens-general-budget_environment,tokens-general-budget_environment#1,budget_environment,100.0,,,expansion,True,False,False,True,Smart-Contract L1,Large-cap alt
1,Bitcoin,Claude Haiku 4.5,1,Bitcoin,BTC,60.0,currency,CHF,60.0,prompt,,0.6,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|2,tokens-general-budget_environment,tokens-general-budget_environment#2,budget_environment,100.0,,,crisis,True,False,False,True,Store of Value (PoW),Blue chip
1,Ethereum,Claude Haiku 4.5,2,Ethereum,ETH,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|2,tokens-general-budget_environment,tokens-general-budget_environment#2,budget_environment,100.0,,,crisis,True,False,False,True,Smart-Contract L1,Blue chip
2,Bitcoin,Claude Haiku 4.5,1,Bitcoin,BTC,50.0,currency,CHF,50.0,prompt,,0.5,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|3,tokens-general-budget_environment,tokens-general-budget_environment#3,budget_environment,100.0,,,recession,True,False,False,True,Store of Value (PoW),Blue chip
2,Ethereum,Claude Haiku 4.5,2,Ethereum,ETH,30.0,currency,CHF,30.0,prompt,,0.3,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|3,tokens-general-budget_environment,tokens-general-budget_environment#3,budget_environment,100.0,,,recession,True,False,False,True,Smart-Contract L1,Blue chip
2,Stablecoin (unspecified),Claude Haiku 4.5,3,Stablecoin (USDC/USDT),STABLE,20.0,currency,CHF,20.0,prompt,,0.2,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|3,tokens-general-budget_environment,tokens-general-budget_environment#3,budget_environment,100.0,,,recession,True,False,False,True,Stablecoin,Stable
3,Bitcoin,Claude Haiku 4.5,1,Bitcoin,BTC,40.0,currency,CHF,40.0,prompt,,0.4,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|4,tokens-general-budget_environment,tokens-general-budget_environment#4,budget_environment,100.0,,,recovery,True,False,False,True,Store of Value (PoW),Blue chip
3,Ethereum,Claude Haiku 4.5,2,Ethereum,ETH,35.0,currency,CHF,35.0,prompt,,0.35,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|4,tokens-general-budget_environment,tokens-general-budget_environment#4,budget_environment,100.0,,,recovery,True,False,False,True,Smart-Contract L1,Blue chip
3,Polkadot,Claude Haiku 4.5,4,Polkadot,DOT,10.0,currency,CHF,10.0,prompt,,0.1,reported,1,tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|4,tokens-general-budget_environment,tokens-general-budget_environment#4,budget_environment,100.0,,,recovery,True,False,False,True,Smart-Contract L1,Large-cap alt
