response_id,product,model,rank,product_raw,code,amount_reported,amount_unit,amount_currency,amount_chf,unit_basis,amount_note,share,alloc_basis,n_lines,response_uid,condition,prompt_key,attrs,budget_chf,risk_value,term_value,env_value,has_budget,has_risk,has_term,has_environment,category,tier
0,Binance,Claude Haiku 4.5,1,Binance,BINANCE,10000.0,currency,USD,10000.0,reported,,0.5,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|4,exchanges-general-term_environment,exchanges-general-term_environment#4,term_environment,,,less than one year,recovery,False,False,True,True,Global CEX,Global / offshore
0,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,6000.0,currency,USD,6000.0,reported,,0.3,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|4,exchanges-general-term_environment,exchanges-general-term_environment#4,term_environment,,,less than one year,recovery,False,False,True,True,US-listed CEX,US regulated
0,Kraken,Claude Haiku 4.5,3,Kraken,KRAKEN,3000.0,currency,USD,3000.0,reported,,0.15,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|4,exchanges-general-term_environment,exchanges-general-term_environment#4,term_environment,,,less than one year,recovery,False,False,True,True,US-listed CEX,US regulated
0,OKX,Claude Haiku 4.5,4,OKX,OKX,1000.0,currency,USD,1000.0,reported,,0.05,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|4,exchanges-general-term_environment,exchanges-general-term_environment#4,term_environment,,,less than one year,recovery,False,False,True,True,Global CEX,Global / offshore
1,Bitstamp,Claude Haiku 4.5,4,Bitstamp,BITSTAMP,10000.0,currency,USD,10000.0,reported,,0.1,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|7,exchanges-general-term_environment,exchanges-general-term_environment#7,term_environment,,,one to three years,recession,False,False,True,True,EU-regulated CEX,EU regulated
1,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,35000.0,currency,USD,35000.0,reported,,0.35,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|7,exchanges-general-term_environment,exchanges-general-term_environment#7,term_environment,,,one to three years,recession,False,False,True,True,US-listed CEX,US regulated
1,Gemini,Claude Haiku 4.5,3,Gemini,GEMINI,15000.0,currency,USD,15000.0,reported,,0.15,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|7,exchanges-general-term_environment,exchanges-general-term_environment#7,term_environment,,,one to three years,recession,False,False,True,True,US-listed CEX,US regulated
1,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,40000.0,currency,USD,40000.0,reported,,0.4,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|7,exchanges-general-term_environment,exchanges-general-term_environment#7,term_environment,,,one to three years,recession,False,False,True,True,US-listed CEX,US regulated
2,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,35000.0,currency,USD,35000.0,reported,,0.35,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|8,exchanges-general-term_environment,exchanges-general-term_environment#8,term_environment,,,one to three years,recovery,False,False,True,True,US-listed CEX,US regulated
2,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,10000.0,currency,USD,10000.0,reported,,0.1,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|8,exchanges-general-term_environment,exchanges-general-term_environment#8,term_environment,,,one to three years,recovery,False,False,True,True,US-listed CEX,US regulated
2,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,55000.0,currency,USD,55000.0,reported,,0.55,reported,2,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|8,exchanges-general-term_environment,exchanges-general-term_environment#8,term_environment,,,one to three years,recovery,False,False,True,True,US-listed CEX,US regulated
4,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,20000.0,currency,USD,20000.0,reported,,0.2,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-term_environment,exchanges-general-term_environment#9,term_environment,,,three to ten years,expansion,False,False,True,True,EU-regulated CEX,EU regulated
4,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,25000.0,currency,USD,25000.0,reported,,0.25,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-term_environment,exchanges-general-term_environment#9,term_environment,,,three to ten years,expansion,False,False,True,True,US-listed CEX,US regulated
4,Gemini,Claude Haiku 4.5,4,Gemini,GEMINI,15000.0,currency,USD,15000.0,reported,,0.15,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-term_environment,exchanges-general-term_environment#9,term_environment,,,three to ten years,expansion,False,False,True,True,US-listed CEX,US regulated
4,Kraken,Claude Haiku 4.5,1,Kraken,KRAKEN,40000.0,currency,USD,40000.0,reported,,0.4,reported,2,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|9,exchanges-general-term_environment,exchanges-general-term_environment#9,term_environment,,,three to ten years,expansion,False,False,True,True,US-listed CEX,US regulated
6,Bitstamp,Claude Haiku 4.5,3,Bitstamp,BITSTAMP,0.2,currency,USD,0.2,reported,,0.19999999999999998,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|10,exchanges-general-term_environment,exchanges-general-term_environment#10,term_environment,,,three to ten years,crisis,False,False,True,True,EU-regulated CEX,EU regulated
6,Coinbase,Claude Haiku 4.5,2,Coinbase,COINBASE,0.3,currency,USD,0.3,reported,,0.3,reported,1,exchanges-general-term_environment|claude-haiku-4-5-20251001|20260824_1054|10,exchanges-general-term_environment,exchanges-general-term_environment#10,term_environment,,,three to ten years,crisis,False,False,True,True,US-listed CEX,US regulated
